Date,PositiveTotal,PositiveNew
1/29/2020,1,1
1/30/2020,1,0
1/31/2020,1,0
2/1/2020,1,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,1,0
2/5/2020,1,0
2/6/2020,2,1
2/7/2020,2,0
2/8/2020,2,0
2/9/2020,2,0
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,2,0
2/26/2020,2,0
2/27/2020,2,0
2/28/2020,2,0
2/29/2020,2,0
3/1/2020,3,1
3/2/2020,3,0
3/3/2020,4,1
3/4/2020,6,2
3/5/2020,14,8
3/6/2020,28,14
3/7/2020,72,44
3/8/2020,91,19
3/9/2020,96,5
3/10/2020,110,14
3/11/2020,132,22
3/12/2020,161,29
3/13/2020,222,61
3/14/2020,295,73
3/15/2020,363,68
3/16/2020,513,150
3/17/2020,762,249
3/18/2020,1021,259
3/19/2020,1299,278
3/20/2020,1687,388
3/21/2020,2009,322
3/22/2020,2295,286
3/23/2020,2904,609
3/24/2020,3622,718
3/25/2020,4368,746
3/26/2020,5303,935
3/27/2020,6246,943
3/28/2020,6900,654
3/29/2020,7423,523
3/30/2020,8661,1238
3/31/2020,9927,1266
4/1/2020,11265,1338
4/2/2020,12542,1277
4/3/2020,14022,1480
4/4/2020,15184,1162
4/5/2020,16161,977
4/6/2020,18093,1932
4/7/2020,20115,2022
4/8/2020,21979,1864
4/9/2020,23957,1978
4/10/2020,26012,2055
4/11/2020,27341,1329
4/12/2020,28271,930
4/13/2020,30257,1986
4/14/2020,33184,2927
4/15/2020,35725,2541
4/16/2020,38111,2386
4/17/2020,41102,2991
4/18/2020,42583,1481
4/19/2020,43672,1089
4/20/2020,46358,2686
4/21/2020,48545,2187
4/22/2020,51251,2706
4/23/2020,53657,2406
4/24/2020,55934,2277
4/25/2020,57428,1494
4/26/2020,58273,845
4/27/2020,60402,2129
4/28/2020,62506,2104
4/29/2020,64693,2187
4/30/2020,66740,2047
5/1/2020,68823,2083
5/2/2020,69852,1029
5/3/2020,70586,734
5/4/2020,72466,1880
5/5/2020,74200,1734
5/6/2020,75898,1698
5/7/2020,77577,1679
5/8/2020,79031,1454
5/9/2020,79715,684
5/10/2020,80100,385
5/11/2020,81409,1309
5/12/2020,82859,1450
5/13/2020,84173,1314
5/14/2020,85487,1314
5/15/2020,86591,1104
5/16/2020,87236,645
5/17/2020,87599,363
5/18/2020,88915,1316
5/19/2020,89990,1075
5/20/2020,91001,1011
5/21/2020,91967,966
5/22/2020,92831,864
5/23/2020,93219,388
5/24/2020,93521,302
5/25/2020,93719,198
5/26/2020,94583,864
5/27/2020,95271,688
5/28/2020,95911,640
5/29/2020,96441,530
5/30/2020,96712,271
5/31/2020,96873,161
6/1/2020,97381,508
6/2/2020,97828,447
6/3/2020,98289,461
6/4/2020,98668,379
6/5/2020,99006,338
6/6/2020,99155,149
6/7/2020,99306,151
6/8/2020,99661,355
6/9/2020,100006,345
6/10/2020,100263,257
6/11/2020,100489,226
6/12/2020,100744,255
6/13/2020,100841,97
6/14/2020,100918,77
6/15/2020,101153,235
6/16/2020,101352,199
6/17/2020,101601,249
6/18/2020,101843,242
6/19/2020,102018,175
6/20/2020,102111,93
6/21/2020,102190,79
6/22/2020,102415,225
6/23/2020,102604,189
6/24/2020,102815,211
6/25/2020,103020,205
6/26/2020,103218,198
6/27/2020,103352,134
6/28/2020,103423,71
6/29/2020,103629,206
6/30/2020,103850,221
7/1/2020,104069,219
7/2/2020,104294,225
7/3/2020,104392,98
7/4/2020,104452,60
7/5/2020,104553,101
7/6/2020,104791,238
7/7/2020,105032,241
7/8/2020,105246,214
7/9/2020,105500,254
7/10/2020,105727,227
7/11/2020,105844,117
7/12/2020,105932,88
7/13/2020,106199,267
7/14/2020,106431,232
7/15/2020,106729,298
7/16/2020,106973,244
7/17/2020,107200,227
7/18/2020,107328,128
7/19/2020,107403,75
7/20/2020,107682,279
7/21/2020,107938,256
7/22/2020,108196,258
7/23/2020,108455,259
7/24/2020,108713,258
7/25/2020,108873,160
7/26/2020,108974,101
7/27/2020,109335,361
7/28/2020,109655,320
7/29/2020,109974,319
7/30/2020,110311,337
7/31/2020,110631,320
8/1/2020,110778,147
8/2/2020,110888,110
8/3/2020,111247,359
8/4/2020,111555,308
8/5/2020,111887,332
8/6/2020,112241,354
8/7/2020,112541,300
8/8/2020,112709,168
8/9/2020,112794,85
8/10/2020,113168,374
8/11/2020,113452,284
8/12/2020,113757,305
8/13/2020,114106,349
8/14/2020,114449,343
8/15/2020,114600,151
8/16/2020,114719,119
8/17/2020,115089,370
8/18/2020,115471,382
8/19/2020,115810,339
8/20/2020,116166,356
8/21/2020,116450,284
8/22/2020,116599,149
8/23/2020,116692,93
8/24/2020,117089,397
8/25/2020,117470,381
8/26/2020,117849,379
8/27/2020,118194,345
8/28/2020,118561,367
8/29/2020,118735,174
8/30/2020,118875,140
8/31/2020,119312,437
9/1/2020,119708,396
9/2/2020,120093,385
9/3/2020,120558,465
9/4/2020,120908,350
9/5/2020,121106,198
9/6/2020,121219,113
9/7/2020,121380,161
9/8/2020,121927,547
9/9/2020,122402,475
9/10/2020,122809,407
9/11/2020,123218,409
9/12/2020,123408,190
9/13/2020,123569,161
9/14/2020,124071,502
9/15/2020,124492,421
9/16/2020,124906,414
9/17/2020,125259,353
9/18/2020,125694,435
9/19/2020,125894,200
9/20/2020,126036,142
9/21/2020,126466,430
9/22/2020,126973,507
9/23/2020,127530,557
9/24/2020,128128,598
9/25/2020,128678,550
9/26/2020,129042,364
9/27/2020,129268,226
9/28/2020,130133,865
9/29/2020,130847,714
9/30/2020,131459,612
10/1/2020,132138,679
10/2/2020,132706,568
10/3/2020,133115,409
10/4/2020,133409,294
10/5/2020,134165,756
10/6/2020,134822,657
10/7/2020,135382,560
10/8/2020,135946,564
10/9/2020,136141,195
10/10/2020,136168,27
10/11/2020,136168,0
